exercise_name,category,met,calories_per_min_35kg,calories_per_min_36kg,calories_per_min_37kg,calories_per_min_38kg,calories_per_min_39kg,calories_per_min_40kg,calories_per_min_41kg,calories_per_min_42kg,calories_per_min_43kg,calories_per_min_44kg,calories_per_min_45kg,calories_per_min_46kg,calories_per_min_47kg,calories_per_min_48kg,calories_per_min_49kg,calories_per_min_50kg,calories_per_min_51kg,calories_per_min_52kg,calories_per_min_53kg,calories_per_min_54kg,calories_per_min_55kg,calories_per_min_56kg,calories_per_min_57kg,calories_per_min_58kg,calories_per_min_59kg,calories_per_min_60kg,calories_per_min_61kg,calories_per_min_62kg,calories_per_min_63kg,calories_per_min_64kg,calories_per_min_65kg,calories_per_min_66kg,calories_per_min_67kg,calories_per_min_68kg,calories_per_min_69kg,calories_per_min_70kg,calories_per_min_71kg,calories_per_min_72kg,calories_per_min_73kg,calories_per_min_74kg,calories_per_min_75kg,calories_per_min_76kg,calories_per_min_77kg,calories_per_min_78kg,calories_per_min_79kg,calories_per_min_80kg,calories_per_min_81kg,calories_per_min_82kg,calories_per_min_83kg,calories_per_min_84kg,calories_per_min_85kg,calories_per_min_86kg,calories_per_min_87kg,calories_per_min_88kg,calories_per_min_89kg,calories_per_min_90kg,calories_per_min_91kg,calories_per_min_92kg,calories_per_min_93kg,calories_per_min_94kg,calories_per_min_95kg,calories_per_min_96kg,calories_per_min_97kg,calories_per_min_98kg,calories_per_min_99kg,calories_per_min_100kg,calories_per_min_101kg,calories_per_min_102kg,calories_per_min_103kg,calories_per_min_104kg,calories_per_min_105kg,calories_per_min_106kg,calories_per_min_107kg,calories_per_min_108kg,calories_per_min_109kg,calories_per_min_110kg,calories_per_min_111kg,calories_per_min_112kg,calories_per_min_113kg,calories_per_min_114kg,calories_per_min_115kg,calories_per_min_116kg,calories_per_min_117kg,calories_per_min_118kg,calories_per_min_119kg,calories_per_min_120kg,calories_per_min_121kg,calories_per_min_122kg,calories_per_min_123kg,calories_per_min_124kg,calories_per_min_125kg,calories_per_min_126kg,calories_per_min_127kg,calories_per_min_128kg,calories_per_min_129kg,calories_per_min_130kg,calories_per_min_131kg,calories_per_min_132kg,calories_per_min_133kg,calories_per_min_134kg,calories_per_min_135kg,calories_per_min_136kg,calories_per_min_137kg,calories_per_min_138kg,calories_per_min_139kg,calories_per_min_140kg,calories_per_min_141kg,calories_per_min_142kg,calories_per_min_143kg,calories_per_min_144kg,calories_per_min_145kg,calories_per_min_146kg,calories_per_min_147kg,calories_per_min_148kg,calories_per_min_149kg,calories_per_min_150kg
plank front,core,3.99,2.793,2.793,2.793,2.793,2.793,2.793,2.8628,2.9326,3.0024,3.0722,3.142,3.2118,3.2816,3.3514,3.4212,3.491,3.5608,3.6306,3.7004,3.7702,3.84,3.91,3.98,4.05,4.12,4.19,4.2598,4.3296,4.3994,4.4692,4.539,4.6088,4.6786,4.7484,4.8182,4.888,4.9578,5.0276,5.0974,5.1672,5.237,5.3068,5.3766,5.4464,5.5162,5.586,5.6558,5.7256,5.7954,5.8652,5.935,6.0048,6.0746,6.1444,6.2142,6.284,6.3538,6.4236,6.4934,6.5632,6.633,6.7028,6.7726,6.8424,6.9122,6.982,7.052,7.122,7.192,7.262,7.332,7.4018,7.4716,7.5414,7.6112,7.681,7.7508,7.8206,7.8904,7.9602,8.03,8.0998,8.1696,8.2394,8.3092,8.379,8.379,8.379,8.379,8.379,8.379,8.379,8.379,8.379,8.379,8.379,8.379,8.379,8.379,8.379,8.379,8.379,8.379,8.379,8.379,8.379,8.379,8.379,8.379,8.379,8.379,8.379,8.379,8.379,8.379,8.379
plank back,core,3.8,2.66,2.66,2.66,2.66,2.66,2.66,2.7264,2.7928,2.8592,2.9256,2.992,3.0586,3.1252,3.1918,3.2584,3.325,3.3916,3.4582,3.5248,3.5914,3.658,3.7244,3.7908,3.8572,3.9236,3.99,4.0564,4.1228,4.1892,4.2556,4.322,4.3886,4.4552,4.5218,4.5884,4.655,4.7216,4.7882,4.8548,4.9214,4.988,5.0544,5.1208,5.1872,5.2536,5.32,5.3864,5.4528,5.5192,5.5856,5.652,5.7186,5.7852,5.8518,5.9184,5.985,6.0516,6.1182,6.1848,6.2514,6.318,6.3844,6.4508,6.5172,6.5836,6.65,6.7164,6.7828,6.8492,6.9156,6.982,7.0486,7.1152,7.1818,7.2484,7.315,7.3816,7.4482,7.5148,7.5814,7.648,7.7144,7.7808,7.8472,7.9136,7.98,7.98,7.98,7.98,7.98,7.98,7.98,7.98,7.98,7.98,7.98,7.98,7.98,7.98,7.98,7.98,7.98,7.98,7.98,7.98,7.98,7.98,7.98,7.98,7.98,7.98,7.98,7.98,7.98,7.98,7.98
plank overhead,core,4.18,2.926,2.926,2.926,2.926,2.926,2.926,2.9992,3.0724,3.1456,3.2188,3.292,3.3652,3.4384,3.5116,3.5848,3.658,3.731,3.804,3.877,3.95,4.023,4.0962,4.1694,4.2426,4.3158,4.389,4.4622,4.5354,4.6086,4.6818,4.755,4.828,4.901,4.974,5.047,5.12,5.1932,5.2664,5.3396,5.4128,5.486,5.5592,5.6324,5.7056,5.7788,5.852,5.9252,5.9984,6.0716,6.1448,6.218,6.2912,6.3644,6.4376,6.5108,6.584,6.657,6.73,6.803,6.876,6.949,7.0222,7.0954,7.1686,7.2418,7.315,7.3882,7.4614,7.5346,7.6078,7.681,7.754,7.827,7.9,7.973,8.046,8.1192,8.1924,8.2656,8.3388,8.412,8.4852,8.5584,8.6316,8.7048,8.778,8.778,8.778,8.778,8.778,8.778,8.778,8.778,8.778,8.778,8.778,8.778,8.778,8.778,8.778,8.778,8.778,8.778,8.778,8.778,8.778,8.778,8.778,8.778,8.778,8.778,8.778,8.778,8.778,8.778,8.778
plank incline,core,3.99,2.793,2.793,2.793,2.793,2.793,2.793,2.8628,2.9326,3.0024,3.0722,3.142,3.2118,3.2816,3.3514,3.4212,3.491,3.5608,3.6306,3.7004,3.7702,3.84,3.91,3.98,4.05,4.12,4.19,4.2598,4.3296,4.3994,4.4692,4.539,4.6088,4.6786,4.7484,4.8182,4.888,4.9578,5.0276,5.0974,5.1672,5.237,5.3068,5.3766,5.4464,5.5162,5.586,5.6558,5.7256,5.7954,5.8652,5.935,6.0048,6.0746,6.1444,6.2142,6.284,6.3538,6.4236,6.4934,6.5632,6.633,6.7028,6.7726,6.8424,6.9122,6.982,7.052,7.122,7.192,7.262,7.332,7.4018,7.4716,7.5414,7.6112,7.681,7.7508,7.8206,7.8904,7.9602,8.03,8.0998,8.1696,8.2394,8.3092,8.379,8.379,8.379,8.379,8.379,8.379,8.379,8.379,8.379,8.379,8.379,8.379,8.379,8.379,8.379,8.379,8.379,8.379,8.379,8.379,8.379,8.379,8.379,8.379,8.379,8.379,8.379,8.379,8.379,8.379,8.379
plank decline,core,3.99,2.793,2.793,2.793,2.793,2.793,2.793,2.8628,2.9326,3.0024,3.0722,3.142,3.2118,3.2816,3.3514,3.4212,3.491,3.5608,3.6306,3.7004,3.7702,3.84,3.91,3.98,4.05,4.12,4.19,4.2598,4.3296,4.3994,4.4692,4.539,4.6088,4.6786,4.7484,4.8182,4.888,4.9578,5.0276,5.0974,5.1672,5.237,5.3068,5.3766,5.4464,5.5162,5.586,5.6558,5.7256,5.7954,5.8652,5.935,6.0048,6.0746,6.1444,6.2142,6.284,6.3538,6.4236,6.4934,6.5632,6.633,6.7028,6.7726,6.8424,6.9122,6.982,7.052,7.122,7.192,7.262,7.332,7.4018,7.4716,7.5414,7.6112,7.681,7.7508,7.8206,7.8904,7.9602,8.03,8.0998,8.1696,8.2394,8.3092,8.379,8.379,8.379,8.379,8.379,8.379,8.379,8.379,8.379,8.379,8.379,8.379,8.379,8.379,8.379,8.379,8.379,8.379,8.379,8.379,8.379,8.379,8.379,8.379,8.379,8.379,8.379,8.379,8.379,8.379,8.379
plank single leg,core,4.18,2.926,2.926,2.926,2.926,2.926,2.926,2.9992,3.0724,3.1456,3.2188,3.292,3.3652,3.4384,3.5116,3.5848,3.658,3.731,3.804,3.877,3.95,4.023,4.0962,4.1694,4.2426,4.3158,4.389,4.4622,4.5354,4.6086,4.6818,4.755,4.828,4.901,4.974,5.047,5.12,5.1932,5.2664,5.3396,5.4128,5.486,5.5592,5.6324,5.7056,5.7788,5.852,5.9252,5.9984,6.0716,6.1448,6.218,6.2912,6.3644,6.4376,6.5108,6.584,6.657,6.73,6.803,6.876,6.949,7.0222,7.0954,7.1686,7.2418,7.315,7.3882,7.4614,7.5346,7.6078,7.681,7.754,7.827,7.9,7.973,8.046,8.1192,8.1924,8.2656,8.3388,8.412,8.4852,8.5584,8.6316,8.7048,8.778,8.778,8.778,8.778,8.778,8.778,8.778,8.778,8.778,8.778,8.778,8.778,8.778,8.778,8.778,8.778,8.778,8.778,8.778,8.778,8.778,8.778,8.778,8.778,8.778,8.778,8.778,8.778,8.778,8.778,8.778
plank single arm,core,4.18,2.926,2.926,2.926,2.926,2.926,2.926,2.9992,3.0724,3.1456,3.2188,3.292,3.3652,3.4384,3.5116,3.5848,3.658,3.731,3.804,3.877,3.95,4.023,4.0962,4.1694,4.2426,4.3158,4.389,4.4622,4.5354,4.6086,4.6818,4.755,4.828,4.901,4.974,5.047,5.12,5.1932,5.2664,5.3396,5.4128,5.486,5.5592,5.6324,5.7056,5.7788,5.852,5.9252,5.9984,6.0716,6.1448,6.218,6.2912,6.3644,6.4376,6.5108,6.584,6.657,6.73,6.803,6.876,6.949,7.0222,7.0954,7.1686,7.2418,7.315,7.3882,7.4614,7.5346,7.6078,7.681,7.754,7.827,7.9,7.973,8.046,8.1192,8.1924,8.2656,8.3388,8.412,8.4852,8.5584,8.6316,8.7048,8.778,8.778,8.778,8.778,8.778,8.778,8.778,8.778,8.778,8.778,8.778,8.778,8.778,8.778,8.778,8.778,8.778,8.778,8.778,8.778,8.778,8.778,8.778,8.778,8.778,8.778,8.778,8.778,8.778,8.778,8.778
plank paused,core,3.99,2.793,2.793,2.793,2.793,2.793,2.793,2.8628,2.9326,3.0024,3.0722,3.142,3.2118,3.2816,3.3514,3.4212,3.491,3.5608,3.6306,3.7004,3.7702,3.84,3.91,3.98,4.05,4.12,4.19,4.2598,4.3296,4.3994,4.4692,4.539,4.6088,4.6786,4.7484,4.8182,4.888,4.9578,5.0276,5.0974,5.1672,5.237,5.3068,5.3766,5.4464,5.5162,5.586,5.6558,5.7256,5.7954,5.8652,5.935,6.0048,6.0746,6.1444,6.2142,6.284,6.3538,6.4236,6.4934,6.5632,6.633,6.7028,6.7726,6.8424,6.9122,6.982,7.052,7.122,7.192,7.262,7.332,7.4018,7.4716,7.5414,7.6112,7.681,7.7508,7.8206,7.8904,7.9602,8.03,8.0998,8.1696,8.2394,8.3092,8.379,8.379,8.379,8.379,8.379,8.379,8.379,8.379,8.379,8.379,8.379,8.379,8.379,8.379,8.379,8.379,8.379,8.379,8.379,8.379,8.379,8.379,8.379,8.379,8.379,8.379,8.379,8.379,8.379,8.379,8.379
walking,cardio,3.5,2.45,2.45,2.45,2.45,2.45,2.45,2.5112,2.5724,2.6336,2.6948,2.756,2.8172,2.8784,2.9396,3.0008,3.062,3.1234,3.1848,3.2462,3.3076,3.369,3.4302,3.4914,3.5526,3.6138,3.675,3.7362,3.7974,3.8586,3.9198,3.981,4.0424,4.1038,4.1652,4.2266,4.288,4.3492,4.4104,4.4716,4.5328,4.594,4.6552,4.7164,4.7776,4.8388,4.9,4.9612,5.0224,5.0836,5.1448,5.206,5.2672,5.3284,5.3896,5.4508,5.512,5.5734,5.6348,5.6962,5.7576,5.819,5.8802,5.9414,6.0026,6.0638,6.125,6.1862,6.2474,6.3086,6.3698,6.431,6.4924,6.5538,6.6152,6.6766,6.738,6.7992,6.8604,6.9216,6.9828,7.044,7.1052,7.1664,7.2276,7.2888,7.35,7.35,7.35,7.35,7.35,7.35,7.35,7.35,7.35,7.35,7.35,7.35,7.35,7.35,7.35,7.35,7.35,7.35,7.35,7.35,7.35,7.35,7.35,7.35,7.35,7.35,7.35,7.35,7.35,7.35,7.35
brisk walking,cardio,4.3,3.01,3.01,3.01,3.01,3.01,3.01,3.0852,3.1604,3.2356,3.3108,3.386,3.4612,3.5364,3.6116,3.6868,3.762,3.8374,3.9128,3.9882,4.0636,4.139,4.2142,4.2894,4.3646,4.4398,4.515,4.5902,4.6654,4.7406,4.8158,4.891,4.9664,5.0418,5.1172,5.1926,5.268,5.3432,5.4184,5.4936,5.5688,5.644,5.7192,5.7944,5.8696,5.9448,6.02,6.0952,6.1704,6.2456,6.3208,6.396,6.4712,6.5464,6.6216,6.6968,6.772,6.8474,6.9228,6.9982,7.0736,7.149,7.2242,7.2994,7.3746,7.4498,7.525,7.6002,7.6754,7.7506,7.8258,7.901,7.9764,8.0518,8.1272,8.2026,8.278,8.3532,8.4284,8.5036,8.5788,8.654,8.7292,8.8044,8.8796,8.9548,9.03,9.03,9.03,9.03,9.03,9.03,9.03,9.03,9.03,9.03,9.03,9.03,9.03,9.03,9.03,9.03,9.03,9.03,9.03,9.03,9.03,9.03,9.03,9.03,9.03,9.03,9.03,9.03,9.03,9.03,9.03
