exercise_name,body_factor,rom_meters
Bench Press,5,0.3
Bench Press (Wide),6,0.4
Bench Press (Narrow),7,0.5
Bench Press (Neutral),8,0.6
Bench Press (Paused),9,0.7
Bench Press (Tempo),10,0.8
Bench Press (Single Arm),5,0.9
Incline Bench Press,6,1
Incline Bench Press (Wide),7,1.1
Incline Bench Press (Narrow),8,1.2
Incline Bench Press (Neutral),9,0.3
Incline Bench Press (Paused),10,0.4
Incline Bench Press (Tempo),5,0.5
Incline Bench Press (Single Arm),6,0.6
Decline Bench Press,7,0.7
Decline Bench Press (Wide),8,0.8
Decline Bench Press (Narrow),9,0.9
Decline Bench Press (Neutral),10,1
Decline Bench Press (Paused),5,1.1
Decline Bench Press (Tempo),6,1.2
Decline Bench Press (Single Arm),7,0.3
Dumbbell Fly,8,0.4
Dumbbell Fly (Wide),9,0.5
Dumbbell Fly (Narrow),10,0.6
Dumbbell Fly (Neutral),5,0.7
Dumbbell Fly (Paused),6,0.8
Dumbbell Fly (Tempo),7,0.9
Dumbbell Fly (Single Arm),8,1
Cable Fly,9,1.1
Cable Fly (Wide),10,1.2
Cable Fly (Narrow),5,0.3
Cable Fly (Neutral),6,0.4
Cable Fly (Paused),7,0.5
Cable Fly (Tempo),8,0.6
Cable Fly (Single Arm),9,0.7
Push Up,10,0.8
Push Up (Wide),5,0.9
Push Up (Narrow),6,1
Push Up (Neutral),7,1.1
Push Up (Paused),8,1.2
Push Up (Tempo),9,0.3
Push Up (Single Arm),10,0.4
Chest Dip,5,0.5
Chest Dip (Wide),6,0.6
Chest Dip (Narrow),7,0.7
Chest Dip (Neutral),8,0.8
Chest Dip (Paused),9,0.9
Chest Dip (Tempo),10,1
Chest Dip (Single Arm),5,1.1
Machine Press,6,1.2
Machine Press (Wide),7,0.3
Machine Press (Narrow),8,0.4
Machine Press (Neutral),9,0.5
Machine Press (Paused),10,0.6
Machine Press (Tempo),5,0.7
Machine Press (Single Arm),6,0.8
Pec Deck,7,0.9
Pec Deck (Wide),8,1
Pec Deck (Narrow),9,1.1
Pec Deck (Neutral),10,1.2
Pec Deck (Paused),5,0.3
Pec Deck (Tempo),6,0.4
Pec Deck (Single Arm),7,0.5
Svend Press,8,0.6
Svend Press (Wide),9,0.7
Svend Press (Narrow),10,0.8
Svend Press (Neutral),5,0.9
Svend Press (Paused),6,1
Svend Press (Tempo),7,1.1
Svend Press (Single Arm),8,1.2
Overhead Press,9,0.3
Overhead Press (Wide),10,0.4
Overhead Press (Narrow),5,0.5
Overhead Press (Neutral),6,0.6
